team_code,team_name,season,player_id,name,position,old_overall,new_overall,change,old_confidence,new_confidence,reason_for_change
ARI,Arizona Cardinals,1999,00-0017710,Aeneas Williams,CB,66,90,24,0.45,0.9,"Perennial All-Pro shutdown corner [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0013644,Simeon Rice,EDGE,72,86,14,0.33,0.9,"Elite pass rusher, 16.5 sacks [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0014328,Frank Sanders,WR,85,84,-1,0.78,0.9,"Lead WR, 79-954 [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0001532,David Boston,WR,80,79,-1,0.78,0.9,"Ascending sophomore WR [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0009659,Kwamie Lassiter,S,76,78,2,0.45,0.9,"Ballhawk safety [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0010970,Ronald McKinnon,LB,71,78,7,0.33,0.9,"Tackle-machine middle linebacker [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0016976,Andre Wadsworth,EDGE,71,77,6,0.33,0.9,"Former top pick, solid edge [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0015976,Rashod Swinger,DT,71,77,6,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0003105,Anthony Clement,LT,74,76,2,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0003869,Jerome Daniels,LT,74,76,2,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0001647,Melvin Bradley,LB,71,76,5,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0017148,Zack Walz,LB,71,76,5,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0006197,Aaron Graham,C,71,75,4,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0011869,Adrian Murrell,RB,84,75,-9,0.78,0.9,"Lead back, 554 rush [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0015947,Eric Swann,EDGE,71,75,4,0.33,0.9,"Aging veteran defensive tackle [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0005560,Rob Fredrickson,LB,71,75,4,0.33,0.9,"Starting linebacker [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0011601,Rob Moore,WR,81,75,-6,0.78,0.9,"Injury-limited veteran #1 [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0010292,Joel Makovicka,RB,74,74,0,0.78,0.78,
ARI,Arizona Cardinals,1999,00-0014776,L.J. Shelton,LT,74,74,0,0.33,0.33,
ARI,Arizona Cardinals,1999,00-0010259,Mark Maddox,LB,71,74,3,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0016479,Pat Tillman,CB,58,74,16,0.45,0.9,"Hard-hitting starting safety [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0000871,Mario Bates,RB,74,73,-1,0.78,0.78,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0008080,Chris Jacke,K,75,72,-3,0.45,0.45,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0002919,Corey Chavous,CB,82,72,-10,0.45,0.9,"Nickel/rotational defensive back [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0014618,Corey Sears,DT,71,72,1,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0013042,Jake Plummer,QB,74,72,-2,0.78,0.9,"Regressed badly: 9 TD vs 24 INT [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0005392,James Folston,LB,71,72,1,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0011068,Johnny McWilliams,TE,73,72,-1,0.78,0.78,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0015255,Mark Smith,EDGE,72,72,0,0.33,0.33,
ARI,Arizona Cardinals,1999,00-0014357,Patrick Sapp,LB,71,72,1,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0004336,Chris Dishman,LG,71,71,0,0.33,0.33,
ARI,Arizona Cardinals,1999,00-0004678,Ernest Dye,LT,74,71,-3,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0013013,Michael Pittman,RB,71,71,0,0.78,0.78,
ARI,Arizona Cardinals,1999,00-0008595,Paris Johnson,CB,82,71,-11,0.45,0.45,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0001907,Dave Brown,QB,70,70,0,0.78,0.78,
ARI,Arizona Cardinals,1999,00-0010700,J.J. McCleskey,CB,70,70,0,0.45,0.45,
ARI,Arizona Cardinals,1999,00-0004250,James Dexter,LG,71,70,-1,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0004514,Jerry Drake,DT,71,70,-1,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0014209,Johnny Rutledge,LB,71,70,-1,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0008357,MarTay Jenkins,WR,67,70,3,0.45,0.45,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0006848,Terry Hardy,TE,81,70,-11,0.78,0.9,"Rotational tight end [by ratings-overhaul-1999, 2026-06-08]"
ARI,Arizona Cardinals,1999,00-0007660,Lester Holmes,LG,71,68,-3,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0008950,Matt Joyce,LT,74,68,-6,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0009360,Tom Knight,CB,79,68,-11,0.45,0.45,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0013028,Scott Player,P,68,67,-1,0.45,0.45,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0014589,Yusuf Scott,LG,71,67,-4,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0018563,Justin Lucas,CB,66,66,0,0.45,0.45,
ARI,Arizona Cardinals,1999,00-0014128,Angel Rubio,EDGE,71,65,-6,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0012446,Brad Ottis,EDGE,71,65,-6,0.33,0.33,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0013623,Coby Rhinehart,CB,70,65,-5,0.45,0.45,Engine re-derivation after 1999 roster/override changes
ARI,Arizona Cardinals,1999,00-0004241,Mike Devlin,C,71,65,-6,0.33,0.33,Engine re-derivation after 1999 roster/override changes
