priority,player_id,name,team_code,team_name,position,current_overall,suggested_overall,issue,reason,data_needed,confidence
1,00-0007530,Billy Joe Hobert,IND,Indianapolis Colts,QB,63,80,Starting-QB slot rated 63 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2000 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
1,00-0005902,Joe Germaine,LAR,St. Louis Rams,QB,71,80,Starting-QB slot rated 71 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2000 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
1,00-0013341,Mike Quinn,MIA,Miami Dolphins,QB,72,80,Starting-QB slot rated 72 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2000 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
1,00-0001545,Todd Bouman,MIN,Minnesota Vikings,QB,73,80,Starting-QB slot rated 73 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2000 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
1,00-0013186,Ron Powlus,PHI,Philadelphia Eagles,QB,70,80,Starting-QB slot rated 70 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2000 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
1,00-0018483,Eric Zeier,TB,Tampa Bay Buccaneers,QB,70,80,Starting-QB slot rated 70 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2000 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
1,00-0019041,Billy Volek,TEN,Tennessee Titans,QB,70,80,Starting-QB slot rated 70 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2000 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
1,00-0019667,Jerry Johnson,DEN,Denver Broncos,DT,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0016044,Maa Tanuvasa,DEN,Denver Broncos,EDGE,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0013471,Montae Reagor,DEN,Denver Broncos,DT,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019187,Brandon Miller,IND,Indianapolis Colts,DT,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019529,Josh Williams,IND,Indianapolis Colts,DT,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0003139,Rich Coady,LAR,St. Louis Rams,CB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0000231,Taje Allen,LAR,St. Louis Rams,CB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0015329,Travian Smith,LV,Oakland Raiders,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0018036,Jerry Wilson,MIA,Miami Dolphins,CB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0001811,Lorenzo Bromell,MIA,Miami Dolphins,EDGE,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019247,Tommy Hendricks,MIA,Miami Dolphins,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0012679,Bryce Paup,MIN,Minnesota Vikings,LB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0012191,Gabe Northern,MIN,Minnesota Vikings,EDGE,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0002332,John Burrough,MIN,Minnesota Vikings,EDGE,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0012519,Mitch Palmer,MIN,Minnesota Vikings,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0017341,Fred Weary,NO,New Orleans Saints,CB,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019053,Steve Gleason,NO,New Orleans Saints,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0017585,Willie Whitehead,NO,New Orleans Saints,EDGE,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0012841,Christian Peter,NYG,New York Giants,DT,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0017799,George Williams,NYG,New York Giants,DT,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019045,Jack Golden,NYG,New York Giants,LB,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0012940,Ryan Phillips,NYG,New York Giants,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0005763,Barry Gardner,PHI,Philadelphia Eagles,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0014991,Alshermond Singleton,TB,Tampa Bay Buccaneers,LB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019562,Nate Webster,TB,Tampa Bay Buccaneers,LB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019565,Bobby Myers,TEN,Tennessee Titans,S,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019665,Byron Frisch,TEN,Tennessee Titans,EDGE,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019570,Frank Chamberlin,TEN,Tennessee Titans,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0019588,Peter Sirmon,TEN,Tennessee Titans,LB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0019559,Chad Pennington,NYJ,New York Jets,QB,75,76,Starting-QB slot rated 75 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2000 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
2,00-0008708,Chris Jones,DEN,Denver Broncos,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
2,00-0010455,Jamie Martin,JAX,Jacksonville Jaguars,QB,72,76,Starting-QB slot rated 72 on medium-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2000 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",medium
2,00-0003315,Todd Collins,KC,Kansas City Chiefs,QB,70,76,Starting-QB slot rated 70 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 2000 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
2,00-0016160,Trey Teague,DEN,Denver Broncos,LT,75,,LT rated 75 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0019184,Ben Gilbert,IND,Indianapolis Colts,LG,76,,LG rated 76 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0015471,Cameron Spikes,LAR,St. Louis Rams,LG,76,,LG rated 76 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0012595,Nathan Parks,LV,Oakland Raiders,LG,78,,LG rated 78 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
2,00-0015107,Brent Smith,MIA,Miami Dolphins,LT,78,,LT rated 78 on low-confidence evidence,Engine flagged this rating as unconfirmed (no recorded starts/stats/awards).,"Any recorded starts, box score, or awards, or a curated override if a notable starter.",low
