team_code,team_name,season,player_id,name,position,old_overall,new_overall,change,old_confidence,new_confidence,reason_for_change
ARI,Arizona Cardinals,2001,00-0001532,David Boston,WR,95,91,-4,0.78,0.9,"1st-team All-Pro WR, 98 cat/1598 yds on a bad team [by ratings-overhaul-2001, 2026-06-09]"
ARI,Arizona Cardinals,2001,00-0013042,Jake Plummer,QB,86,79,-7,0.78,0.9,"Turnover-prone starter, 18 TD/14 INT [by ratings-overhaul-2001, 2026-06-09]"
ARI,Arizona Cardinals,2001,00-0013013,Michael Pittman,RB,84,79,-5,0.78,0.9,"Dual-threat lead back, 1275 scrimmage yds [by ratings-overhaul-2001, 2026-06-09]"
ARI,Arizona Cardinals,2001,00-0014328,Frank Sanders,WR,81,78,-3,0.78,0.9,"Veteran possession #2, 618 yds [by ratings-overhaul-2001, 2026-06-09]"
ARI,Arizona Cardinals,2001,00-0005392,James Folston,LB,71,78,7,0.33,0.33,Engine re-derivation after 2001 roster/override changes
ARI,Arizona Cardinals,2001,00-0016479,Pat Tillman,S,71,78,7,0.33,0.9,"Hard-hitting starting safety [by ratings-overhaul-2001, 2026-06-09]"
ARI,Arizona Cardinals,2001,00-0009137,Pete Kendall,LG,80,78,-2,0.45,0.9,"Solid starting guard [by ratings-overhaul-2001, 2026-06-09]"
ARI,Arizona Cardinals,2001,00-0009659,Kwamie Lassiter,S,71,77,6,0.33,0.9,"Ballhawk veteran safety [by ratings-overhaul-2001, 2026-06-09]"
ARI,Arizona Cardinals,2001,00-0020301,Renaldo Hill,CB,73,77,4,0.33,0.33,Engine re-derivation after 2001 roster/override changes
ARI,Arizona Cardinals,2001,00-0010970,Ronald McKinnon,LB,71,77,6,0.33,0.9,"Tackle-machine middle linebacker [by ratings-overhaul-2001, 2026-06-09]"
ARI,Arizona Cardinals,2001,00-0018563,Justin Lucas,S,71,76,5,0.33,0.33,Engine re-derivation after 2001 roster/override changes
ARI,Arizona Cardinals,2001,00-0020533,Leonard Davis,LG,65,76,11,0.45,0.9,"Raw #2-overall rookie tackle [by ratings-overhaul-2001, 2026-06-09]"
