priority,player_id,name,team_code,team_name,position,current_overall,suggested_overall,issue,reason,data_needed,confidence
1,00-0013338,Jonathan Quinn,JAX,Jacksonville Jaguars,QB,72,80,Starting-QB slot rated 72 on low-confidence evidence,QB is the most simulation-critical position; the room carried no recorded starts/box score to separate the starter from backups.,"Confirm the 1999 starter (games_started) or apply a curated override; rate the starter, leave backups lower.",low
1,00-0006395,Donovan Greer,BUF,Buffalo Bills,CB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0002666,Keion Carpenter,BUF,Buffalo Bills,CB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0012059,Keith Newman,BUF,Buffalo Bills,LB,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0010450,Manny Martin,BUF,Buffalo Bills,CB,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0015069,Eric Smedley,IND,Indianapolis Colts,CB,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0002938,Larry Chester,IND,Indianapolis Colts,DT,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0016295,Mark Thomas,IND,Indianapolis Colts,EDGE,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0001458,Shane Bonham,IND,Indianapolis Colts,DT,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0014519,Bryan Schwartz,JAX,Jacksonville Jaguars,LB,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0015070,Joel Smeenge,JAX,Jacksonville Jaguars,EDGE,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0011000,Tom McManus,JAX,Jacksonville Jaguars,LB,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0012925,Joe Phillips,MIN,Minnesota Vikings,DT,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0003536,Keith Council,MIN,Minnesota Vikings,DT,77,,Defensive starter rated 77 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0014401,Talance Sawyer,MIN,Minnesota Vikings,EDGE,75,,Defensive starter rated 75 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0008934,Antony Jordan,TB,Tampa Bay Buccaneers,LB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0004440,Anthony Dorsett,TEN,Tennessee Titans,CB,76,,Defensive starter rated 76 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
1,00-0011407,Donald Mitchell,TEN,Tennessee Titans,CB,78,,Defensive starter rated 78 on low-confidence evidence,Statless defensive group (no recorded starts/box score) — engine cannot confirm a rating this high without a human check.,"Recorded starts or box score (sacks/INT/tackles), or a curated override for a known starter.",low
