team_code,team_name,season,players_total,avg_ovr_before,avg_ovr_after,min_ovr_before,min_ovr_after,max_ovr_before,max_ovr_after,players_90_plus_before,players_90_plus_after,players_80_plus_before,players_80_plus_after,percent_67_to_71_before,percent_67_to_71_after
LAR,St. Louis Rams,1999,23,89.1,81.6,82,72,97,97,9,5,23,12,0,0
TEN,Tennessee Titans,1999,58,74.4,73.6,55,56,90,92,1,3,4,11,6.9,17.2
BUF,Buffalo Bills,1999,56,72.9,73.3,51,52,97,94,1,1,11,10,19.6,21.4
KC,Kansas City Chiefs,1999,56,73.5,72.6,52,54,95,90,2,3,7,10,12.5,16.1
BAL,Baltimore Ravens,1999,60,71.5,72.3,51,51,96,96,2,3,6,12,16.7,13.3
JAX,Jacksonville Jaguars,1999,64,72.6,72.3,50,53,96,93,1,2,12,12,25,31.3
WAS,Washington Redskins,1999,59,75.4,72.2,56,57,93,88,3,0,7,9,3.4,18.6
NYJ,New York Jets,1999,61,72.8,72.1,50,50,92,90,1,2,2,8,4.9,18
TB,Tampa Bay Buccaneers,1999,58,73.1,72,52,53,86,93,0,2,5,10,6.9,15.5
MIA,Miami Dolphins,1999,62,72.2,71.9,52,52,93,90,2,2,5,12,6.5,17.7
DAL,Dallas Cowboys,1999,66,72,71.8,50,50,98,96,4,2,6,10,6.1,15.2
SEA,Seattle Seahawks,1999,59,73.3,71.8,50,51,89,92,0,1,5,9,10.2,22
LV,Oakland Raiders,1999,58,73.1,71.7,51,51,92,88,3,0,6,8,8.6,13.8
NYG,New York Giants,1999,60,73.3,71.7,53,55,90,90,1,1,6,8,8.3,21.7
MIN,Minnesota Vikings,1999,59,72.5,71.5,50,51,95,94,4,4,12,13,5.1,11.9
IND,Indianapolis Colts,1999,59,72.7,71.3,51,52,98,93,3,3,7,6,11.9,18.6
NE,New England Patriots,1999,62,72.7,71.3,51,51,86,88,0,0,6,7,12.9,19.4
ARI,Arizona Cardinals,1999,60,71.4,70.8,51,51,85,90,0,1,8,3,50,26.7
CHI,Chicago Bears,1999,62,72.4,70.7,55,54,94,84,1,0,5,3,24.2,22.6
GB,Green Bay Packers,1999,61,71.8,70.7,50,50,90,88,1,0,6,9,4.9,14.8
SF,San Francisco 49ers,1999,63,72.8,70.7,52,51,88,90,0,1,5,7,6.3,19
ATL,Atlanta Falcons,1999,58,70.4,70.6,51,51,89,84,0,0,3,7,29.3,22.4
DET,Detroit Lions,1999,64,72.2,70.6,51,52,92,84,1,0,4,7,4.7,15.6
DEN,Denver Broncos,1999,63,70.5,70.5,50,51,88,86,0,0,7,13,7.9,12.7
PHI,Philadelphia Eagles,1999,61,72,70.3,51,50,87,88,0,0,5,8,9.8,21.3
LAC,San Diego Chargers,1999,62,72,70.2,56,54,95,92,1,1,9,7,11.3,16.1
CAR,Carolina Panthers,1999,62,72,70.1,50,50,96,88,4,0,7,8,25.8,12.9
CLE,Cleveland Browns,1999,61,72.2,69.7,59,54,89,80,0,0,7,3,14.8,27.9
PIT,Pittsburgh Steelers,1999,60,71.9,69.5,50,50,86,85,0,0,10,6,15,18.3
NO,New Orleans Saints,1999,66,71.1,69.3,50,49,84,88,0,0,6,8,12.1,21.2
CIN,Cincinnati Bengals,1999,63,70.8,68.9,52,52,87,88,0,0,8,6,9.5,20.6
