season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2010,PIT,T,,71,ACT,Flozell Adams,Flozell,Adams,1975-05-18,79,338,,00-0000045,,,,,,,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tvzbhead7hjhqpcbilgc",,21,SB,A01,Flozell,ADA280969,,32004144-4128-0969-9390-de3ae33872eb,1998,1998,DAL,38
2010,PHI,K,,2,ACT,David Akers,David,Akers,1974-12-09,70,200,,00-0000108,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/emsxaumip79uaj7bq8jd",,18,WC,A01,David,AKE551610,,3200414b-4555-1610-e0e6-a72c82e419e7,1997,1997,,
2010,SD,LS,,64,CUT,Ethan Albright,Lawrence,Albright,1971-05-01,77,260,,00-0000121,,,,,,,,,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lip7eu79zah64gpusebf",,5,REG,A01,Ethan,ALB637766,,3200414c-4263-7766-3ff2-577dbeb62e1c,1994,1994,,
2010,BLT,ILB,,51,ACT,Brendon Ayanbadejo,Brendon,Ayanbadejo,1976-09-06,73,225,,00-0000551,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xyeqlkvkt7b5ygv8lrwn",,19,DIV,A01,Brendon,AYA436705,,32004159-4143-6705-e019-7daf37d2f1af,1999,1999,,
2010,DEN,CB,,24,ACT,Champ Bailey,Roland,Bailey,1978-06-22,72,192,,00-0000585,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nxtpe8xo54kxbkyabih6",,17,REG,I01,Champ,BAI582194,,32004241-4958-2194-25da-8624608fa14d,1999,1999,WAS,7
2010,TB,CB,,20,ACT,Ronde Barber,Ronde,Barber,1975-04-07,70,184,,00-0000741,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ye1pozwxxdxdvfvtsl0z",,17,REG,A01,Ronde,BAR048197,,32004241-5204-8197-3361-5bb631aa79ce,1997,1997,TB,66
2010,CLV,ILB,,50,ACT,Eric Barton,Eric,Barton,1977-09-29,75,245,,00-0000846,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n1mcqe2q9khdadl7k77f",,17,REG,A01,Eric,BAR766216,,32004241-5276-6216-1360-96908316eed6,1999,1999,OAK,146
2010,PIT,QB,,16,ACT,Charlie Batch,Charles,Batch,1974-12-05,74,216,,00-0000865,1490,a725e7c5-86df-4b5b-abe0-71b809be988d,,945,367,BatcCh00,,,12,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/isysgvqm3qaxybeyhece",,21,SB,I02,Charlie,BAT039161,,32004241-5403-9161-d21e-19cbefc1c6b0,1998,1998,DET,60
2010,WAS,P,,6,RES,Josh Bidwell,Joshua,Bidwell,1976-03-13,75,228,,00-0001231,,,,,,,,,11,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k7icadkhemrtt1dxe07x",,4,REG,A01,Josh,BID711929,,32004249-4471-1929-ff9d-b0f0b0eaf2f8,1999,1999,GB,133
2010,SD,LS,,50,RES,David Binn,David,Binn,1972-02-06,75,228,,00-0001255,,,,,,,,,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xcviqx4jjjh4lgwyyndp",,1,REG,A01,David,BIN713776,,32004249-4e71-3776-b6ac-6d094eb67190,1994,1994,,
