season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2014,SF,K,,9,ACT,Phil Dawson,Philip,Dawson,1975-01-23,71,200,Texas,00-0004091,1440,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,4269,994,422,,5714,229,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dypn7kf7fsaz30ey0ayc",,17,REG,A01,Phil,DAW705989,23860,32004441-5770-5989-ac23-bf6cdafcb988,1998,1998,,
2014,IND,QB,,8,ACT,Matt Hasselbeck,Matthew,Hasselbeck,1975-09-25,76,235,Boston College,00-0007091,1575,7d8eba61-208d-4d91-86cd-704ad05cb7f4,4416,949,408,HassMa00,1034,36,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",,20,CON,A01,Matt,HAS536799,23636,32004841-5353-6799-a37b-f4bab15e4312,1998,1998,GB,187
2014,DEN,QB,,18,ACT,Peyton Manning,Peyton,Manning,1976-03-24,77,230,Tennessee,00-0010346,1428,aae6d92e-5f28-43ee-b0dc-522e80e99f76,4256,902,327,MannPe00,7328,294,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",,19,DIV,A01,Peyton,MAN515097,23446,32004d41-4e51-5097-63c8-dfd9cac091f8,1998,1998,IND,1
2014,IND,K,,4,ACT,Adam Vinatieri,Adam,Vinatieri,1972-12-28,72,209,South Dakota State,00-0016919,1097,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,3727,395,226,,3258,120,18,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/imfj1hl4kob4jof8hcwa",,20,CON,A01,Adam,VIN196019,21213,32005649-4e19-6019-e626-0b58f9aa81e1,1996,1996,,
2014,OAK,FS,,24,ACT,Charles Woodson,Charles,Woodson,1976-10-07,73,210,Michigan,00-0018227,,,,,,,,,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gohbupnj3mhletq96zzu",,17,REG,A01,Charles,WOO661523,23449,3200574f-4f66-1523-6494-7f8d7d48fff1,1998,1998,OAK,4
2014,ARZ,LS,,82,ACT,Mike Leach,Mike,Leach,1976-10-18,74,235,William & Mary,00-0019435,,,,,,,,,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ilrirkvxmxbeedplpjhm",,18,WC,A01,Mike,LEA091822,26080,32004c45-4109-1822-bb13-3388defe5a21,2000,2000,,
2014,NO,K,,3,ACT,Shayne Graham,Shayne,Graham,1977-12-09,72,210,,00-0019536,,,,,,,,,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nntaad0gtphxh3qe4l4o",,17,REG,A01,Shayne,GRA217171,,32004752-4121-7171-4b31-b84625809e98,2000,2000,,
2014,ARZ,OLB,,55,RES,John Abraham,John,Abraham,1978-05-06,76,263,,00-0019546,,,,,,,,,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xy04q7bt6hiatezp83t6",,1,REG,A01,John,ABR073003,,32004142-5207-3003-86cc-4d8433464ae2,2000,2000,NYJ,13
2014,NE,QB,,12,ACT,Tom Brady,Tom,Brady,1977-08-03,76,225,Michigan,00-0019596,2330,41c44740-d0f6-44ab-8347-3b5d515e5ecf,5228,1350,698,BradTo00,4314,167,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",,21,SB,A01,Tom,BRA371156,25511,32004252-4137-1156-7ed0-8b9e44948f13,2000,2000,NE,199
2014,OAK,K,,11,ACT,Sebastian Janikowski,Sebastian,Janikowski,1978-03-02,73,260,Florida State,00-0019646,2148,480277d1-47c9-44df-969e-038a84cd0fea,5046,1299,595,janikseb01,3253,118,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c5zvm3ux5uvwxdfqwd0w",,17,REG,A01,Sebastian,JAN400354,25326,32004a41-4e40-0354-af49-976718aaf8be,2000,2000,OAK,17
2014,HST,P,,9,ACT,Shane Lechler,Edward,Lechler,1976-08-07,74,237,Texas A&M,00-0019714,2273,c4b15bec-4adf-444a-bda1-5a07ade70abf,5171,7123,673,LechSh20,7606,307,14,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/we3oe5jqnrb4ag3d4pqu",,17,REG,A01,Shane,LEC090322,25451,32004c45-4309-0322-4493-968eaa2c1214,2000,2000,OAK,142
2014,CHI,K,,4,ACT,Jay Feely,Thomas,Feely,1976-05-23,70,208,,00-0019770,,,,,,,,,13,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ncfkhjulzxlddszqfm2u",,17,REG,A01,Jay,FEE461435,,32004645-4546-1435-37cc-652b8c8591a5,2001,2001,,
