season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2016,SF,K,K,4,ACT,Phil Dawson,Phil,Dawson,1975-01-23,71,200,Texas,00-0004091,1440,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,4269,994,422,,5714,229,18,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dypn7kf7fsaz30ey0ayc",,17,REG,A01,Phil,DAW705989,23860,32004441-5770-5989-ac23-bf6cdafcb988,1998,1998,,
2016,IND,K,K,4,ACT,Adam Vinatieri,Adam,Vinatieri,1972-12-28,72,206,South Dakota State,00-0016919,1097,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,3727,395,226,,3258,120,20,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/imfj1hl4kob4jof8hcwa",,17,REG,A01,Adam,VIN196019,21213,32005649-4e19-6019-e626-0b58f9aa81e1,1996,1996,,
2016,ARI,LS,LS,82,ACT,Mike Leach,Mike,Leach,,74,235,William & Mary,00-0019435,,,,,,,,,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ilrirkvxmxbeedplpjhm",,2,REG,A01,Mike,LEA091822,26080,32004c45-4109-1822-bb13-3388defe5a21,2000,2000,,
2016,ATL,K,K,6,CUT,Shayne Graham,Shayne,Graham,,72,210,,00-0019536,,,,,,,,,,,,21,SB,,Shayne,GRA217171,,32004752-4121-7171-4b31-b84625809e98,,,,
2016,NE,QB,QB,12,ACT,Tom Brady,Tom,Brady,1977-08-03,76,225,Michigan,00-0019596,2330,41c44740-d0f6-44ab-8347-3b5d515e5ecf,5228,1350,698,BradTo00,4314,167,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/apkxya5ptb0zalrskshq",QB,21,SB,,Tom,BRA371156,25511,32004252-4137-1156-7ed0-8b9e44948f13,2000,2000,NE,
2016,OAK,K,K,11,ACT,Sebastian Janikowski,Sebastian,Janikowski,1978-03-02,73,265,Florida State,00-0019646,2148,480277d1-47c9-44df-969e-038a84cd0fea,5046,1299,595,janikseb01,3253,118,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c5zvm3ux5uvwxdfqwd0w",,18,WC,,Sebastian,JAN400354,25326,32004a41-4e40-0354-af49-976718aaf8be,2000,2000,OAK,
2016,HOU,P,P,9,ACT,Shane Lechler,Shane,Lechler,1976-08-07,74,230,Texas A&M,00-0019714,2273,c4b15bec-4adf-444a-bda1-5a07ade70abf,5171,7123,673,LechSh20,7606,307,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/we3oe5jqnrb4ag3d4pqu",,19,DIV,,Shane,LEC090322,25451,32004c45-4309-0322-4493-968eaa2c1214,2000,2000,OAK,
2016,PIT,QB,QB,2,ACT,Mike Vick,Michael,Vick,,72,215,Virginia Tech,00-0020245,2549,b797d6fa-1520-4b3d-a212-157afd4a3bd0,5448,2193,773,,9447,461,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hrg4riwhpjbijfovsjrk",,2,REG,A01,Michael,VIC311467,26219,32005649-4331-1467-814d-d41e76f507d4,2001,2001,ATL,1
2016,BAL,WR,WR,89,ACT,Steve Smith,Steve,Smith,1979-05-12,69,195,Utah,00-0020337,2622,a69419b7-3cdc-48b9-b3a3-c50f2bf4e6f1,5521,2263,837,SmitSt01,4358,169,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",WR,17,REG,,Steve,SMI733120,26294,3200534d-4973-3120-1f76-7eb0862a9e02,,,,
2016,NO,QB,QB,9,ACT,Drew Brees,Drew,Brees,1979-01-15,72,209,Purdue,00-0020531,2580,bb5957e6-ce7d-47ab-8036-22191ffc1c44,5479,2178,802,BreeDr00,7242,289,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",QB,17,REG,,Drew,BRE229498,26250,32004252-4522-9498-de45-55dc89e02748,2001,2001,SD,
