season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2017,ARI,K,K,4,ACT,Phil Dawson,Philip,Dawson,1975-01-23,71,200,Texas,00-0004091,1440,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,4269,994,422,,5714,229,19,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dypn7kf7fsaz30ey0ayc",,17,REG,A01,Phil,DAW705989,23860,32004441-5770-5989-ac23-bf6cdafcb988,1998,1998,,
2017,IND,K,K,4,ACT,Adam Vinatieri,Adam,Vinatieri,1972-12-28,72,212,South Dakota State,00-0016919,1097,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,3727,395,226,,3258,120,21,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/imfj1hl4kob4jof8hcwa",,17,REG,A01,Adam,VIN196019,21213,32005649-4e19-6019-e626-0b58f9aa81e1,1996,1996,,
2017,NE,QB,QB,12,ACT,Tom Brady,Tom,Brady,1977-08-03,76,225,Michigan,00-0019596,2330,41c44740-d0f6-44ab-8347-3b5d515e5ecf,5228,1350,698,BradTo00,4314,167,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/apkxya5ptb0zalrskshq",QB,21,SB,A01,Tom,BRA371156,25511,32004252-4137-1156-7ed0-8b9e44948f13,2000,2000,NE,199
2017,OAK,K,K,11,RES,Sebastian Janikowski,Sebastian,Janikowski,1978-03-02,73,265,Florida State,00-0019646,2148,480277d1-47c9-44df-969e-038a84cd0fea,5046,1299,595,janikseb01,3253,118,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c5zvm3ux5uvwxdfqwd0w",,17,REG,,Sebastian,JAN400354,25326,32004a41-4e40-0354-af49-976718aaf8be,2000,2000,OAK,
2017,HOU,P,P,9,ACT,Shane Lechler,Edward,Lechler,1976-08-07,74,230,Texas A&M,00-0019714,2273,c4b15bec-4adf-444a-bda1-5a07ade70abf,5171,7123,673,LechSh20,7606,307,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/we3oe5jqnrb4ag3d4pqu",,17,REG,A01,Shane,LEC090322,25451,32004c45-4309-0322-4493-968eaa2c1214,2000,2000,OAK,142
2017,NO,QB,QB,9,ACT,Drew Brees,Drew,Brees,1979-01-15,72,209,Purdue,00-0020531,2580,bb5957e6-ce7d-47ab-8036-22191ffc1c44,5479,2178,802,BreeDr00,7242,289,16,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",QB,19,DIV,A01,Drew,BRE229498,26250,32004252-4522-9498-de45-55dc89e02748,2001,2001,SD,32
2017,ATL,K,K,3,ACT,Matt Bryant,Steven,Bryant,1975-05-29,69,203,Baylor,00-0020578,4333,218d1644-603e-4da3-9ce1-48ce3927494f,6243,2832,1223,,3388,127,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/okrutwlsyxd3w2xtohun",,19,DIV,A01,Matt,BRY500226,27091,32004252-5950-0226-6db3-32703a03c1e9,2002,2002,,
2017,NE,LB,OLB,92,ACT,James Harrison,James,Harrison,1978-05-04,72,242,Kent State,00-0020712,,,,,,,,,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zck45uxz4nin7rqkqkpj",EDGE,21,SB,A01,James,HAR600985,27498,32004841-5260-0985-9d9d-dddf0bb92f41,2002,2002,,
2017,CAR,DL,DE,90,ACT,Julius Peppers,Julius,Peppers,1980-01-18,79,295,North Carolina,00-0021140,3530,c058f888-ff75-4f13-a9e7-3f5be65288bf,5888,2528,1010,PeppJu99,11977,684,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c7tpbqsqzbg4vw5axw71",EDGE,18,WC,A01,Julius,PEP422041,27132,32005045-5042-2041-8a3d-bd7e1af424ac,2002,2002,CAR,2
2017,DET,DL,DE,93,ACT,Dwight Freeney,Dwight,Freeney,1980-02-19,73,268,Syracuse,00-0021146,,,,,,,,,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tk45swjxoh8bbjs50s7a",EDGE,17,REG,A01,Dwight,FRE417537,27141,32004652-4541-7537-cb66-395afa029790,2002,2002,IND,11
