season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club
1984,DAL,DB,DB,0,ACT,Vince Albritton,Vince,Albritton,1962-07-23,74,205,,00-0000123,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g6nr4dntwoqmiaxmzjpp",ALB761365,,3200414c-4276-1365-64b0-e529b164763c,,,
1984,IND,SPEC,K,0,ACT,Raul Allegre,Raul,Allegre,1959-06-15,69,165,,00-0000179,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tju3yges90ubourcleuo",ALL038630,,3200414c-4c03-8630-71a2-3875071b0f3e,,,
1984,RAI,RB,RB,0,ACT,Marcus Allen,Marcus,Allen,1960-03-26,74,205,,00-0000220,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wy664ewj5sglsncnjakr",ALL598765,,3200414c-4c59-8765-9d33-196f8c26460c,,,
1984,KC,OL,OT,0,ACT,John Alt,John,Alt,1962-05-30,80,285,,00-0000252,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qmumhvwglh2mfnbvv4ax",ALT276861,,3200414c-5427-6861-29b6-c67d96e9eb3d,,,
1984,NO,SPEC,K,0,ACT,Morten Andersen,Morten,Andersen,1960-08-19,74,190,,00-0000282,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nk87h6cjuij14iofd5ix",AND020258,,3200414e-4402-0258-af5e-f904d4733d82,,,
1984,MIN,RB,RB,0,ACT,Alfred Anderson,Alfred,Anderson,1961-08-04,73,214,,00-0000284,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hcvdjbauj5b86kyzcvgc",AND040516,,3200414e-4404-0516-98da-db32e7261c6c,,,
1984,PIT,SPEC,K,0,ACT,Gary Anderson,Gary,Anderson,1959-07-16,71,156,,00-0000313,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fofzz3dwrg1vr2drmoak",AND273108,,3200414e-4427-3108-1809-a396fee76085,,,
1984,STL,RB,RB,0,ACT,Ottis Anderson,Ottis,Anderson,1957-01-19,74,220,,00-0000335,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pwluez9civsa4xcuqskm",AND395031,,3200414e-4439-5031-7953-cd25409c072e,,,
1984,ATL,QB,QB,0,ACT,David Archer,David,Archer,1962-02-15,74,200,,00-0000406,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/evvc9571w3sqipjkkxl0",ARC415290,,32004152-4341-5290-36ca-56ca45fb9f75,,,
1984,NYG,OL,G,0,ACT,Billy Ard,William,Ard,1959-03-12,75,250,,00-0000410,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xaqniielzq1gcdxpcwzh",ARD276861,,32004152-4427-6861-ec83-f084792fea69,,,
1984,KC,SPEC,P,0,ACT,Jim Arnold,James,Arnold,1961-01-31,74,216,,00-0000447,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/x9o6ovudmtr8yioupxgv",ARN484505,,32004152-4e48-4505-f303-b808632ddd52,,,
1984,CLE,OL,C,0,ACT,Mike Baab,Michael,Baab,1959-12-06,76,270,,00-0000561,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vkbjwpponyvajqinzxyr",BAA276861,,32004241-4127-6861-91a0-37071a842bac,,,
1984,CLE,SPEC,K,0,ACT,Matt Bahr,Matthew,Bahr,1956-07-06,70,165,,00-0000581,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pukxu8ic9up4to0zdbtv",BAH692150,,32004241-4869-2150-32d7-0e550f8925dc,,,
1984,SEA,OL,G,0,ACT,Edwin Bailey,Edwin,Bailey,1959-05-15,76,265,,00-0000591,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hepj17eqasihwxvsm2xo",BAI242249,,32004241-4924-2249-5570-c09135d26002,,,
1984,DAL,OL,G,0,ACT,Brian Baldinger,Brian,Baldinger,1960-01-07,76,255,,00-0000653,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kzoj9v8hbfxpaiplffem",BAL123048,,32004241-4c12-3048-1d7a-3f26650566c7,,,
1984,KC,OL,OT,0,ACT,Rich Baldinger,Richard,Baldinger,1959-12-31,76,285,,00-0000655,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kjm87eydnrxfsitux5kl",BAL184572,,32004241-4c18-4572-b68e-e3ff04cf74f2,,,
1984,NYG,LB,OLB,0,ACT,Carl Banks,Carl,Banks,1962-08-29,76,232,,00-0000698,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ej5o44tmydrv1ncbenuc",BAN415290,,32004241-4e41-5290-cf4a-bdc9e8db12fa,,,
1984,CLE,LB,OLB,0,ACT,Chip Banks,William,Banks,1959-09-18,76,233,,00-0000699,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q9u9hmkmgffyfr7plx5c",BAN656214,,32004241-4e65-6214-f5ff-f63cb322a6a8,,,
1984,CIN,LB,LB,0,ACT,Leo Barker,Leonardo,Barker,1959-11-07,74,221,,00-0000756,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/suaeogykesifnd1ww0ya",BAR177960,,32004241-5217-7960-e8d0-f46655335c4a,,,
1984,DAL,DB,DB,40,ACT,Bill Bates,William,Bates,1961-06-06,73,199,,00-0000868,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ndyfdkwheeqpurjhinx1",BAT207644,,32004241-5420-7644-fe72-844f3f885736,,,
1984,BUF,DB,S,0,ACT,Martin Bayless,Martin,Bayless,1962-10-11,74,195,,00-0000915,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j1btpnt1rq0p05whbfsr",BAY083058,,32004241-5908-3058-40a1-45dad3333982,,,
1984,STL,DB,DB,0,TRC,Martin Bayless,Martin,Bayless,1962-10-11,74,195,,00-0000915,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j1btpnt1rq0p05whbfsr",BAY083058,,32004241-5908-3058-40a1-45dad3333982,,,
1984,KC,DL,DE,0,ACT,Mike Bell,Mike,Bell,1957-08-30,76,255,,00-0001040,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/esorjujmuhjxc3w6eok1",BEL521120,,32004245-4c52-1120-4340-248a70584fe3,,,
